district_num,vpap_district,kaine_votes,stewart_votes,waters_votes,total_votes,kaine_percent,stewart_percent,waters_percent
1,HD001,5311,16040,192,21561,0.246324382,0.74393581,0.008904967
2,HD002,16650,8727,405,25811,0.645073806,0.338111658,0.015690984
3,HD003,4899,16346,194,21461,0.228274545,0.761660687,0.009039653
4,HD004,6577,16315,251,23164,0.283931963,0.704325678,0.01083578
5,HD005,6749,18162,295,25226,0.267541426,0.719971458,0.011694284
6,HD006,6626,18731,316,25693,0.257891254,0.729031254,0.01229907
7,HD007,11217,17225,545,29032,0.386366768,0.593310829,0.018772389
8,HD008,13047,19119,627,32822,0.397507769,0.582505636,0.019103041
9,HD009,8368,19093,330,27804,0.30096389,0.686699755,0.011868796
10,HD010,20890,14840,742,36533,0.571811787,0.406208086,0.020310404
11,HD011,15724,7062,424,23236,0.676708556,0.303924944,0.018247547
12,HD012,15034,10522,659,26256,0.572592931,0.400746496,0.025099025
13,HD013,16374,9660,576,26660,0.614178545,0.362340585,0.021605401
14,HD014,13351,14188,268,27830,0.4797341,0.509809558,0.009629896
15,HD015,8537,19574,458,28597,0.298527818,0.684477393,0.016015666
16,HD016,10825,16254,343,27441,0.394482708,0.592325353,0.012499544
17,HD017,13069,17641,565,31317,0.41731328,0.563304276,0.018041319
18,HD018,13830,19004,671,33574,0.411925895,0.56603324,0.019985703
19,HD019,9142,20911,472,30541,0.29933532,0.68468616,0.015454635
20,HD020,13500,16556,623,30719,0.439467431,0.538949836,0.020280608
21,HD021,16889,11536,648,29105,0.580278303,0.396358014,0.022264216
22,HD022,10679,19071,624,30410,0.351167379,0.627129234,0.020519566
23,HD023,12192,18130,1006,31359,0.388787908,0.578143436,0.032080105
24,HD024,9831,17810,466,28129,0.34949696,0.633154396,0.016566533
25,HD025,15289,19130,778,35250,0.433730496,0.542695035,0.022070922
26,HD026,12290,11623,638,24587,0.499857648,0.472729491,0.025948672
27,HD027,18997,15387,712,35100,0.541225071,0.438376068,0.0202849
28,HD028,16434,12843,628,29949,0.548732846,0.428829009,0.020968981
29,HD029,12299,17660,575,30578,0.40221728,0.577539407,0.018804369
30,HD030,12851,17977,529,31398,0.409293586,0.572552392,0.016848207
31,HD031,18920,12492,624,32086,0.589665275,0.389328679,0.019447734
32,HD032,24585,12494,769,37912,0.648475417,0.329552648,0.020283815
33,HD033,17783,18963,823,37643,0.472411869,0.503758999,0.021863295
34,HD034,21606,12085,658,34440,0.627351916,0.350900116,0.019105691
35,HD035,22512,7933,687,31204,0.721445968,0.254230227,0.022016408
36,HD036,23985,7530,685,32254,0.743628697,0.233459416,0.021237676
37,HD037,19396,7260,638,27351,0.709151402,0.265438192,0.023326387
38,HD038,17812,5790,467,24124,0.738351849,0.240009949,0.019358315
39,HD039,21667,8200,598,30542,0.709416541,0.268482745,0.019579595
40,HD040,18837,12970,580,32440,0.58067201,0.399815043,0.017879162
41,HD041,22510,9418,763,32761,0.687097463,0.287475962,0.023289887
42,HD042,20565,10766,826,32231,0.638050324,0.334026248,0.025627501
43,HD043,23024,7049,686,30829,0.746829284,0.228648351,0.022251776
44,HD044,18648,6151,530,25409,0.73391318,0.242079578,0.020858751
45,HD045,30982,6799,1071,39075,0.792885477,0.17399872,0.027408829
46,HD046,21017,4122,523,25754,0.816067407,0.160052807,0.020307525
47,HD047,28291,5783,1046,35246,0.802672644,0.164075356,0.029677126
48,HD048,24728,7161,822,32861,0.752502967,0.217917897,0.025014455
49,HD049,22611,4036,668,27399,0.825249097,0.147304646,0.024380452
50,HD050,15101,8609,570,24325,0.620801644,0.353915725,0.023432682
51,HD051,18513,12248,703,31545,0.586875892,0.388270724,0.022285624
52,HD052,18142,4555,327,23055,0.786900889,0.197571026,0.014183474
53,HD053,22170,6356,679,29302,0.756603645,0.216913521,0.02317248
54,HD054,15089,14688,560,30371,0.496822627,0.483619242,0.018438642
55,HD055,15692,19832,710,36284,0.432477125,0.546577004,0.019567854
56,HD056,16935,19685,687,37384,0.453001284,0.526562166,0.018376846
57,HD057,27415,5740,824,34046,0.805234095,0.16859543,0.024202549
58,HD058,16422,18096,716,35277,0.465515775,0.51296879,0.02029651
59,HD059,12087,18649,509,31276,0.386462463,0.596271902,0.01627446
60,HD060,11519,14329,299,26164,0.440261428,0.547660908,0.011427916
61,HD061,11554,16046,340,27953,0.413336672,0.574034987,0.012163274
62,HD062,15114,13117,477,28718,0.526290132,0.456751863,0.016609792
63,HD063,16485,7242,185,23939,0.688625256,0.302518902,0.007727975
64,HD064,14315,19777,459,34591,0.413835969,0.571738313,0.013269348
65,HD065,17345,24228,826,42429,0.408800585,0.571024535,0.019467817
66,HD066,14763,18793,482,34046,0.433619221,0.551988486,0.014157317
67,HD067,21078,10241,627,32009,0.658502296,0.319941267,0.019588241
68,HD068,26381,16015,1083,43535,0.605972206,0.367864936,0.024876536
69,HD069,25217,3019,451,28718,0.878090396,0.105125705,0.015704436
70,HD070,23374,4805,280,28466,0.821119933,0.168797864,0.009836296
71,HD071,28477,2686,561,31781,0.896038514,0.084515906,0.017652056
72,HD072,20989,14412,858,36339,0.577588816,0.396598696,0.023610996
73,HD073,19737,12958,757,33507,0.589041096,0.386725162,0.022592294
74,HD074,25085,6993,368,32473,0.772487913,0.215348135,0.011332492
