district_num,vpap_district,kaine_votes,stewart_votes,waters_votes,total_votes,kaine_percent,stewart_percent,waters_percent
75,HD075,14316,9995,179,24518,0.583897545,0.407659679,0.007300759
76,HD076,17533,16210,502,34287,0.511359991,0.472773938,0.014641118
77,HD077,19149,5097,272,24560,0.77968241,0.207532573,0.011074919
78,HD078,14884,17033,583,32537,0.457448443,0.523496327,0.017918063
79,HD079,12129,5485,356,18094,0.670332707,0.303139162,0.01967503
80,HD080,20671,5911,408,27031,0.764714587,0.218674855,0.015093781
81,HD081,12228,14506,584,27344,0.44719134,0.530500293,0.021357519
82,HD082,15458,15593,797,31892,0.484698357,0.488931393,0.024990593
83,HD083,14451,12584,656,27721,0.52130154,0.453951878,0.02366437
84,HD084,14149,11676,906,26749,0.528954353,0.436502299,0.033870425
85,HD085,15783,11955,679,28445,0.554860257,0.42028476,0.023870628
86,HD086,20343,7918,655,28953,0.70262149,0.273477705,0.022622872
87,HD087,26052,12035,721,38852,0.670544631,0.309765263,0.018557603
88,HD088,16350,16999,642,34037,0.480359609,0.499427094,0.018861827
89,HD089,19171,3472,395,23076,0.830776564,0.150459352,0.017117351
90,HD090,18209,4237,328,22806,0.798430238,0.185784443,0.01438218
91,HD091,14380,13889,532,28930,0.497061873,0.480089872,0.018389215
92,HD092,21622,4615,292,26568,0.813836194,0.173705209,0.010990665
93,HD093,18462,10266,523,29299,0.630123895,0.350387385,0.017850439
94,HD094,15961,10736,548,27278,0.585123543,0.393577242,0.020089449
95,HD095,18387,4567,286,23283,0.78971782,0.196151699,0.01228364
96,HD096,18965,19443,692,39142,0.484517909,0.496729855,0.017679219
97,HD097,13271,25861,703,39887,0.33271492,0.648356607,0.01762479
98,HD098,12188,19020,503,31729,0.384128085,0.599451606,0.015853005
99,HD099,13390,16893,436,30753,0.435404676,0.549312262,0.014177479
100,HD100,14053,11366,388,25833,0.543994116,0.439979871,0.015019549
