district_num,vpap_district,kaine_votes,stewart_votes,waters_votes,total_votes,kaine_percent,stewart_percent,waters_percent
1,SD01,43014,21459,1223,65772,0.653986499,0.326263456,0.018594539
2,SD02,48955,16503,868,66528,0.73585558,0.248060967,0.013047138
3,SD03,39677,56496,1710,97999,0.404871478,0.576495679,0.017449158
4,SD04,36764,49318,1496,87684,0.419278318,0.56245153,0.017061265
5,SD05,46411,13351,845,60695,0.764659362,0.219968696,0.013922069
6,SD06,32432,20674,1017,54286,0.597428435,0.380834838,0.018734112
7,SD07,40245,30397,1657,72381,0.556016082,0.419958276,0.022892748
8,SD08,35093,31297,1932,68394,0.513100564,0.45759862,0.028248092
9,SD09,65181,17818,1206,84316,0.773056122,0.211324067,0.014303335
10,SD10,57609,35580,2043,95312,0.604425466,0.373300319,0.021434867
11,SD11,44588,43858,1465,89926,0.495829905,0.487712119,0.016291173
12,SD12,51667,37555,2065,91459,0.5649198,0.410621153,0.022578423
13,SD13,58380,39548,2018,100135,0.583012933,0.394946822,0.020152794
14,SD14,35748,43616,1426,80874,0.442020921,0.539308059,0.017632366
15,SD15,25736,44065,715,70570,0.364687544,0.624415474,0.010131784
16,SD16,44365,16041,734,61187,0.725072319,0.262163531,0.011996012
17,SD17,41572,36453,1469,79607,0.522215383,0.457911993,0.018453151
18,SD18,45940,21146,804,67975,0.675836705,0.311084958,0.011827878
19,SD19,26945,50155,1294,78467,0.343392764,0.6391859,0.016491009
20,SD20,28741,36123,680,65607,0.438078254,0.550596735,0.010364748
21,SD21,38471,25487,1487,65520,0.587164225,0.388995726,0.02269536
22,SD22,33154,40002,1539,74763,0.44345465,0.53505076,0.020585049
23,SD23,24462,55630,1733,81899,0.298684966,0.679251273,0.02116021
24,SD24,28591,49714,1607,80015,0.357320502,0.621308505,0.020083734
25,SD25,50515,30096,1676,82420,0.612897355,0.365154089,0.02033487
26,SD26,26180,40161,1379,67805,0.386107219,0.592301453,0.020337733
27,SD27,34916,47929,1673,84648,0.412484642,0.566215386,0.0197642
28,SD28,39316,40290,1659,81392,0.483045017,0.495011795,0.020382839
29,SD29,43076,16896,1118,61188,0.703994247,0.276132575,0.018271557
30,SD30,63877,16474,2167,82930,0.77025202,0.198649463,0.026130471
31,SD31,60502,20324,2128,83238,0.726855523,0.244167327,0.025565247
32,SD32,61949,21629,1823,85608,0.723635642,0.252651621,0.021294739
33,SD33,51010,20868,1517,73486,0.694145824,0.283972457,0.020643388
34,SD34,53269,22010,1744,77202,0.689995078,0.285096241,0.022590088
35,SD35,48021,13405,1346,62921,0.763195118,0.213044929,0.021391904
36,SD36,45874,17019,1179,64186,0.714704141,0.265151279,0.018368492
37,SD37,48546,20837,1697,71216,0.681672658,0.292588744,0.023828915
38,SD38,16755,38259,639,55711,0.300748506,0.6867405,0.011469907
39,SD39,54214,22297,1473,78180,0.69345101,0.285200819,0.018841136
40,SD40,15757,43853,690,60352,0.261084968,0.726620493,0.011432927
